ISBN,Book_Title,Book_Author,Year_Of_Publication,Publisher
0002005018,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
0440234743,The Testament,John Grisham,1999,Dell
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters &amp; Small Ltd
0971880107,Wild Animus,Rich Shapero,2004,Too Far
0345402871,Airframe,Michael Crichton,1997,Ballantine Books
0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books
0684823802,OUT OF THE SILENT PLANET,C.S. Lewis,1996,Scribner
0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks
0425163091,Chocolate Jesus,Stephan Jaramillo,1998,Berkley Publishing Group
0375406328,Lying Awake,Mark Salzman,2000,Alfred A. Knopf
0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books
0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins
0061099686,Downtown,Anne Rivers Siddons,1995,HarperTorch
0553582909,Icebound,Dean R. Koontz,2000,Bantam Books
0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket
0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books
0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group
042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group
0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers
0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell
0060914068,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,1988,HarperCollins Publishers
0156047624,All the King's Men,Robert Penn Warren,1982,Harvest Books
0380715899,A Soldier of the Great War,Mark Helprin,1992,Avon Books
0671623249,LONESOME DOVE,Larry McMurtry,1986,Pocket
0679810307,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991,Laurel Leaf
0345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,Ballantine Books
042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group
0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company
0060938412,The Accidental Virgin,Valerie Frankel,2003,Avon Trade
0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books
0345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson
0441783589,Starship Troopers,Robert A. Heinlein,1987,Ace Books
0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,Laurel Leaf
0375410538,Anil's Ghost,MICHAEL ONDAATJE,2000,Knopf
087113375X,Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,1990,Atlantic Monthly Press
0340767936,Turning Thirty,Mike Gayle,2000,Hodder &amp; Stoughton General Division
0316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown"
8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001,Minotauro
8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,2001,Minotauro
8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,2001,Distribooks
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House
0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket
0312252617,Fast Women,Jennifer Crusie,2001,St. Martin's Press
0312261594,Female Intelligence,Jane Heller,2001,St. Martin's Press
0316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002,Back Bay Books
