User_ID,Location,Age
26,"bellevue, washington, usa",NULL
51,"renton, washington, usa",34.0
91,"toronto/newmarket, ,",NULL
99,"franktown, colorado, usa",42.0
114,"ligonier, pennsylvania, usa",57.0
125,"lansing, michigan, usa",49.0
165,"olympia, washington, usa",62.0
242,"neuffen, baden-wuerttemberg, germany",37.0
243,"arden hills, minnesota, usa",NULL
244,"college station, texas, usa",NULL
254,"minneapolis, minnesota, usa",24.0
256,"boston, massachusetts, usa",NULL
280,"yakima, washington, usa",NULL
300,"newport news, virginia, usa",NULL
332,"lake oswego, oregon, usa",59.0
367,"culver city, california, usa",45.0
388,"nashville, tennessee, usa",35.0
424,"portland, oregon, usa",29.0
433,"smock, pennsylvania, usa",48.0
446,"chevy chase, dc, usa",NULL
453,"charleston, west virginia, usa",NULL
486,"portland, oregon, usa",31.0
487,"houston, texas, usa",NULL
503,"el centro, california, usa",40.0
505,"washington, dc, usa",51.0
507,"dumas, arkansas, usa",NULL
558,"burnaby, ,",NULL
566,"springfield, illinois, usa",NULL
638,"san diego, california, usa",20.0
641,"portland, oregon, usa",NULL
643,"grenoble, rhone-alpes, france",23.0
651,"interlachen, florida, usa",26.0
735,"cortland, new york, usa",29.0
763,"oakland, california, usa",NULL
785,"burbank, california, usa",NULL
805,"sonoma, california, usa",34.0
819,"deer park, new york, usa",NULL
882,"berkeley, california, usa",23.0
885,"jacksonville, texas, usa",NULL
899,"bielefeld, nordrhein-westfalen, germany",23.0
900,"scranton, pennsylvania, usa",25.0
901,"worcester, worcestershire, united kingdom",21.0
915,"humble, texas, usa",50.0
929,"king of prussia, ,",36.0
938,"calgary, alberta, canada",55.0
999,"newark, delaware, usa",21.0
1008,"boston, massachusetts, usa",NULL
1021,"rowland, north carolina, usa",NULL
1025,"maidstone, england, united kingdom",33.0
1031,"sparks, maryland, usa",52.0
1032,"lockhart, texas, usa",NULL
1054,"burnsville, minnesota, usa",37.0
1075,"hurst, texas, usa",49.0
1083,"newport news, virginia, usa",NULL
1116,"calgary, alberta, canada",29.0
1118,"cleveland, , usa",NULL
1129,"bothell, washington, usa",53.0
1131,"berkeley, ,",22.0
1155,"smyrna, georgia, usa",22.0
1161,"brier, washington, usa",NULL
1167,"milwaukee, wisconsin, usa",25.0
1211,"rennes, bretagne, france",22.0
1235,"salt spring island, british columbia, canada",NULL
1248,"dixon, california, usa",NULL
1249,"surrey, british columbia, canada",NULL
1261,"el paso, texas, usa",46.0
1264,"antelope, california, usa",NULL
1376,"peoria, illinois, usa",NULL
1377,"swansea, massachusetts, usa",20.0
1389,"trenton, michigan, usa",22.0
1409,"farmington hills, michigan, usa",74.0
1412,"winston-salem, north carolina, usa",47.0
1424,"north avoca, new south wales, australia",NULL
1427,"mililani, hawaii, usa",22.0
1433,"woodbridge, california, usa",54.0
1435,"st. louis, missouri, usa",36.0
1436,"sault ste. marie, ontario, canada",NULL
1486,"montmorency, victoria, australia",75.0
1489,"somerville, massachusetts, usa",20.0
1504,"iowa city, iowa, usa",NULL
1513,"oak hill, virginia, usa",40.0
